,client,title,pos_review,neg_review,nationality,score,travel_type,room_type,date_review
742,Jose,Aceptable,"La ubicación del hotel, el trato del personal del restaurante","Habitacion sin calefaccion por desperfecto de los radiadores con personal de administración no resolutivo, pesado y poco profesional, sin trato amable, mas conflictivo que no pudieron solucionar el problema.",España,"5,0",En familia,Habitación Cuádruple Estándar,26/12/2022
743,Manuel,"Hotel que destaca por su buena ubicación, limpieza y amplitud en sus habitaciones. Restaurante muy mejorable.",Muy buena ubicación. Instalaciones limpias y habitación muy amplia.,"Mejorable el trato de algunas chicas de recepción. En el  restaurante no vale la pena coger media pensión si vas por varios días. Además, dicho restaurante lleva muy mala gestión, principalmente a la hora de la cena.",España,"7,0",En familia,Habitación Triple,9/12/2022
744,Silvia,fatal,poco,todo,España,"1,0",En pareja,Habitación Doble - 1 o 2 camas,7/12/2022
745,Reda,Buena Ubicación,Habitación grande y cómoda! cerca de Caldea unos 4 min caminando y cerca del centro. tiene parking en el hotel 18€,"La habitación no tenía nada que ver con las fotos. me lo esperaba más moderno, muebles antiguos.
Pero aún así es agradable y cómoda",España,"7,0",En pareja,Habitación Doble - 1 o 2 camas,2/12/2022
746,Carlos,Bien,Buena muy cerca centro comercial,Mucha calor en la habitación,España,"7,0",En pareja,Habitación Doble - 1 o 2 camas,19/11/2022
747,Rosa,Calidad precio bueno y ubicación,La cama de matrimonio y personal,Que no nos pusieron gel y champú las de la limpieza,España,"7,0",En pareja,Habitación Doble - 1 o 2 camas,2/11/2022
748,Patricia,Correcto pero a mejorar!,"la habitación era muy amplia, reformada y limpia. Super céntrico en medio del meollo. Habitación triple muy chula porque es habitación suite independiente","Las dos camas eran pequeñas, de 80-90 con lo que nosotros que somos grandotes no estamos cómodos. Colchones muy duros para nuestro gusto. Poquísima presión en la fucha y wifi nefasto",España,"6,0",En familia,Habitación Triple,1/11/2022
749,Aya,no repetía,muy buena ubicación. el personal muy amable. habitación amplia y reformada.,"las almohadas olían fatal y hemos llamado a recepción para que las cambien. han dicho que no tienen pero van a cambiar las fundas. vale, lo hemos aceptado. esperamos 40 minutos sin cambiar ni nada porque van a entrar a cambiar, supuestamente. pero nadie ha venido y nada cambio. hemos tenido que echar perfume a las almohadas y mucho.
la verdad no pagaría este dinero para lo que hemos tenido.",Jordania,"5,0",En pareja,Habitación Doble Deluxe,23/10/2022
750,Nootka,Céntrico,Ubicación y la habitación,Mala conexión wi-fi y actitud de parte del personal de recepción,España,"7,0",En pareja,Habitación Doble - 1 o 2 camas,20/10/2022
751,Mª,Bien,La ubicación,"El parking, y no pudimos utilizar el ascensor",España,"7,0",En pareja,Habitación Doble - 1 o 2 camas,11/10/2022
752,Isabel,buena situación,"Ubicación excelente
Desayuno y cena muy buenos",Unas reformas de carpintería y lavabo no estaría mal,España,"7,0",En familia,Habitación Cuádruple Estándar,10/10/2022
753,Iurii,Bien,Habitación grande y cómoda,"Vivía en la habitación familiar Deluxe 303. 
No había Internet.
He reservado un lugar para el coche con antelación. Llegamos y no había estacionamiento. Pagué 24,8 euros por noche en el estacionamiento de la Plaza",España,"7,0",En familia,Habitación Familiar Deluxe,6/10/2022
754,David,Bien,"Casualidad que los dos dias que estuve en el hotel, los ascensores no funcionaban, hacian obras en la planta dónde estaba  hospedado y habia un grupo importante de viajantes que colapsaron el buffet del desayuno.",,España,"7,0",Persona que viaja sola,Habitación Doble - 1 o 2 camas,4/10/2022
755,Lourdes,Decepcionante,"Nada, el baño estaba sucio y la cama muy incómoda",,España,"4,0",En pareja,Habitación Doble - 1 o 2 camas,23/09/2022
756,Manel,Bien,Estancia de 3 dias y el ascensor estuvo estropeado 2,,España,"7,0",Persona que viaja sola,Habitación Doble Deluxe,23/09/2022
757,Inma,Decepción,La ubicación. Las camas bastante cómodas,"Comparado  con otras veces, lo he encontrado en general más dejado, supongo que  es por las obras que están realizando. Nos toco una habitación antigua y algo dejada.
Falta de limpieza y organización 
El desayuno justo y mal organizado",España,"5,0",En familia,Habitación Triple,20/09/2022
758,Montse_72,Bien,La habitación bien,El  colchón es bastante  blando,España,"7,0",En grupo,Habitación Cuádruple Estándar,18/09/2022
759,Tania,No repetiria.,La habitación era enorme y el personal muy amable.,"Nos cambiaron de habitacion porque la nevera estaba muy sucia, incluso una de las sillas plegables negras. El baño tenia muchos desperfectos y no daba la sensacion de que estuviese limpio.",España,"6,0",En grupo,Habitación Triple,13/09/2022
760,Neladriana,Un año más visitando Andorra,La ubicación  y tamaño de las habitaciones.,"Al haberlo visitado varios años, observamos que hay un gran deterioro en las habitaciones , pues están para reformar sobretodo los baños, ya que se sale el agua por todos los sitios,las clavijas de la luz se caen, por estar despegadas, los muebles tienen muchas marcas de  uso y la tele es pequeña y con TDT, un poco desfasada.También la comida del menú ha perdido calidad respecto a años anteriores.Una pena si no lo corrigen.",España,"5,0",En familia,Habitación Triple,9/09/2022
761,Xenia,"por el precio y la categoría, podría mejorar.","La cena estaba muy buena, la habitación era amplia y con dos baños. Ubicación en el centro.","El desayuno era muy escaso y con la habitación no se te garantiza plaza de parking, no tuvimos en toda la estancia.",España,"7,0",En grupo,Habitación Cuádruple Estándar,8/09/2022
762,Carlos,Estancia breve pero incomoda.,las camas,"Mala señal de wifi, mala señal de la televisión, las televisiones se veían viejas, los cubos de papelera muy pequeños, el servicio molestaba mucho por las mañanas.",España,"4,0",En pareja,Habitación Doble - 1 o 2 camas,29/08/2022
763,Laura,Bien pero mejotable,"La ubicación, la habitación espaciosa, y que el lavabo tiene bidé","Las almohadas incomodas, el colchón duro, una luz no funcionaba y no la podían arreglar hasta el día siguiente.",España,"7,0",En familia,Habitación Triple,23/08/2022
764,Carmen,Visita en familia dos días Andorra,"La ubicación genial, al lado de la calle comercial con tiendas y restaurantes, además de parkings.
La habitación espaciosa con dos baños, aunque en nuestra reserva ponía con cama de matrimonio y dos literas y solo tenía una","La habitación grande, pero las vistas a un callejón pésimas.
El desayuno está bien, aunque hemos estado en tres estrellas con mayor surtido, por ser un cuatro estrellas esperábamos más variedad.",España,"7,0",En familia,Habitación Cuádruple Estándar,21/08/2022
765,Maria,caro para lo que es,ubicacion,las camas,España,"7,0",En familia,Habitación Cuádruple Deluxe,19/08/2022
766,Oscar,Aceptable,La habitación muy amplia y cómoda. El desayuno bastante correcto.,"El personal frío y distante, ni una sola sonrisa. El parking no se puede reservar y cuando llegamos estaba completo. El aparcamiento en Andorra es caro y desagradable. La habitación muy impersonal.",España,"5,0",En grupo,Habitación Cuádruple Estándar,7/08/2022
767,Jlcobas,Tuvo tiempos mejores,La ubicación y el tamaño de la habitación,Un poco envejecido y la ropa de cama con demasiados usos.,España,"6,0",En familia,Habitación Triple,30/07/2022
768,Ghena,Dezgustado,esta bien situado,"No me gustó 
camas mal echas 
la nevera sucia 
los muebles ralladas rotas
el aire acondicionado sucio (por dentro en la salida del aire)
las duchas viejas en mal estado 
mandó de la televisión sin pilas 
               No es un hotel de 4estrellas",España,"4,0",En familia,Habitación Triple,25/07/2022
769,Angel,Habitación cómoda pero necesita una reforma,"La ubicación, está a 2min caminando de la calle de las tiendas. La habitación era súper amplia.","Nos cobraron una tasa de turista de 3,95€/persona por día hospedado. No nos avisaron con antelación hasta que no llegamos al hotel. Me pareció bastante mal por parte del hotel y de booking.
El mobiliario (minibar, muebles, televisión) de la habitación están para cambiar, se nota que tienen muchos años y están muy desgastados.",España,"7,0",En pareja,Habitación Doble - 1 o 2 camas,21/07/2022
770,Fernando,Muy mal,Comida de Media pensión espectacular,Habitacion mal acabada y con muchos ruidos. Trato al llegar lamentable no dan Habitación hasta 16 horas,España,"2,0",En pareja,Habitación Cuádruple Deluxe,17/07/2022
771,Borja,Hotel de negocios,"La ubicación muy buena. Los servicios del hotel completos (desayuno, parking, gimnasio, recepción 24 h). Las habitaciones son muy grandes, incluso en exceso.",El estado de conservación del edificio. Las habitaciones también estaban un poco descuidadas.,España,"7,0",En grupo,Habitación Doble - 1 o 2 camas,7/07/2022
772,Ana,Bien,La comida del restaurante y el trato de los camareros,La recepcionista del turno de mańana encantadora en cambio la del turno de tarde  muy seca.,España,"7,0",En grupo,Habitación Cuádruple Estándar,30/06/2022
773,Marta,Esta vez decepcionante,"El tamaño de la habitación, la limpieza y la ubicación.","La habitación era grande, busco este hotel ya que tengo claustrofobia y esta vez la sala era grande y la habitación agobiante, el aire acondicionado daba contra un armario y no enfriaba nada. Estan de obras y nos dieron 1 planta, había por lo tanto que estar con la ventana abierta y el ruido era increíble, dos noches de agobio, me compré tapones. Para desayunar bajamos a las 9.45, 3/4 hora antes cierre, estaba prácticamente vacío, no reponen nada; no sé si están de recortes pero ni papel WC tuvimos el primer día. El ascensor en la planta 1 no funcionaba bien, tengo discapacidad visual y tenía que bajar por escaleras. Lo aviso por si vais en silla ruedas o cochecito.",España,"5,0",En pareja,Habitación Doble - 1 o 2 camas,24/06/2022
774,Jose,Justillo,La ubicacion.,Hace falta renovar las habitaciones.,España,"7,0",En familia,Habitación Cuádruple Estándar,5/06/2022
